모델명,색상1,색상2,색상3,색상4,색상5,색상6,용량1,용량2,용량3,가격1,가격2,가격3
Galaxy_S22_울트라,그린,레드,스카이블루,블랙,화이트,버건디,256Gb,512Gb,1Tb,1452000,1551000,1749000
Galaxy_S22,팬텀화이트,팬텀블랙,그린,핑크골드,x,x,256Gb,x,x,990000,0,0
Galaxy_S23_울트라,그라파이트,스카이블루,라임,레드,블랙,x,256Gb,512Gb,1Tb,1399000,1469000,1729000
Galaxy_S23,라벤더,크림,팬텀블랙,그린,x,x,256Gb,512Gb,x,1270000,1470000,0
Galaxy_폴드5,아이시블루,팬텀블랙,크림,그레이,블루,x,256Gb,512Gb,x,2090000,2210000,0
Galaxy_플립5,베이지,그레이,라이트그린,라이트핑크,x,x,256Gb,512Gb,x,1399200,1520200,0
