모델명,색상1,색상2,색상3,색상4,색상5,색상6,용량1,용량2,용량3,가격1,가격2,가격3
iPhone_SE,블랙,화이트,레드,x,x,x,64Gb,128Gb,256Gb,650000,730000,880000
iPhone_12_pro,실버,그래파이트,골드,퍼시픽블루,x,x,128Gb,256Gb,512Gb,700000,800000,900000
iPhone_13_mini,미드나이트,스타라이트,레드,블루,핑크,그린,128Gb,256Gb,512Gb,800000,900000,1000000
iPhone_13,미드나이트,스타라이트,레드,블루,핑크,그린,128Gb,256Gb,512Gb,950000,1100000,1400000
iPhone_13_pro,그래파이트,실버,골드,시에라블루,알파인그린,x,256Gb,512Gb,1Tb,1000000,1300000,1500000
iPhone_14_pro,실버,골드,스페이스블랙,딥퍼플,x,x,256Gb,512Gb,1Tb,1694000,1991000,2299000
iPhone_14,블루,퍼플,옐로,미드나이트,스타라이트,레드,128Gb,256Gb,512Gb,1090000,1240000,1540000
iPhone_15,블루,핑크,옐로,그린,블랙,x,128Gb,256Gb,512Gb,1350000,1500000,1800000
iPhone_15_pro,내추럴,블루,화이트,블랙,x,x,256Gb,512Gb,1Tb,1900000,2200000,2500000
